ID,UBHI,Object Number,Interval Top(m),Interval Bottom(m),Layer Name,Interval Desc,Sampling Date,Material Type,Description,Aluminium (ppm),Arsenic (ppm),Barium(ppm),Beryllium (ppm),Boron (ppm),Cadmium (ppm),Calcium (ppm),Cesium (ppm),Chromium(ppm),Cobalt(ppm),Copper(ppm),Hafnium(ppm),Iridium(ppm),Iron (ppm),Lanthanum(ppm),Lead (ppm),Lithium (ppm),Magnesium(ppm),Manganese(ppm),Mercury(ppm),Molybdenum(ppm),Nickel (ppm),Nubium (ppm),Potassium (ppm),Rhenium(ppm),Rubidium(ppm),Scandinavium(ppm),Selenium(ppm),Silver(ppm),Sodium(ppm),Strontium(ppm),Thorium(ppm),Tin(ppm),Titanium(ppm),Vanadium(ppm),Zinc(ppm)   ,45Sc (ppm),89Yb (ppm),139La (ppm),140Ce (ppm),141Pr (ppm),142Nd (ppm),143Nd (ppm),144Nd (ppm),144Sm (ppm),145Nd (ppm),146Nd (ppm),147Sm(ppm),148Sm (ppm),148Nd (ppm),149Sm (ppm),150Sm (ppm),150Nd (ppm),152Sm (ppm),153Eu (ppm),154Sm (ppm),157Gd (ppm),159Tb (ppm),163Dy(ppm),165Ho (ppm),166Er (ppm),169Tm (ppm),172Yb (ppm),175Lu (ppm),176Lu (ppm),228Th(ppm),229Th(ppm),230Th (ppm),232Th (ppm),9Be (ppm),69Ga (ppm),71Ga (ppm),74Se (ppm),76Se (ppm),77Se (ppm),78Se (ppm),80Se (ppm),82Se (ppm),85Rb (ppm),87Rb (ppm),130Ba (ppm),132Ba (ppm),133Cs (ppm),134Ba (ppm),135Ba (ppm),136Ba (ppm),137Ba (ppm),138Ba (ppm),203Tl (ppm),204Pb(ppm),205Tl(ppm),205Pb (ppm),206Pb(ppm),207Pb(ppm),208Pb(ppm),210Pb (ppm),232U(ppm),233U(ppm),234U(ppm),236U(ppm),238U(ppm)
,E-MKRN-1,I,1234,1239,BOKABIL,,1.10.2023,Sediment,,0.183,19.56,4.039,9.559,5.493,1.799,0.368,0.183,19.56,4.039,9.559,5.493,1.799,0.368,0.183,19.56,4.039,9.559,5.493,1.799,0.368,0.183,19.56,4.039,9.559,5.493,1.799,0.368,0.183,19.56,4.039,9.559,5.493,1.799,0.368,0.183,19.56,4.039,9.559,5.493,1.799,0.368,0.183,19.56,4.039,9.559,5.493,1.799,0.368,0.183,19.56,4.039,9.559,5.493,1.799,0.368,0.183,19.56,4.039,9.559,5.493,1.799,0.368,0.183,19.56,4.039,9.559,5.493,1.799,0.368,0.183,19.56,4.039,9.559,5.493,1.799,0.368,0.183,19.56,4.039,9.559,5.493,1.799,0.368,0.183,19.56,4.039,9.559,5.493,1.799,0.368,0.183,19.56,4.039,9.559,5.493,1.799,0.368,0.183,19.56,4.039
,E-MKRN-1,I,1234,1239,BOKABIL,,1.10.2023,Sediment,,0.18,17.92,4.597,13.64,5.828,3.156,0.357,0.18,17.92,4.597,13.64,5.828,3.156,0.357,0.18,17.92,4.597,13.64,5.828,3.156,0.357,0.18,17.92,4.597,13.64,5.828,3.156,0.357,0.18,17.92,4.597,13.64,5.828,3.156,0.357,0.18,17.92,4.597,13.64,5.828,3.156,0.357,0.18,17.92,4.597,13.64,5.828,3.156,0.357,0.18,17.92,4.597,13.64,5.828,3.156,0.357,0.18,17.92,4.597,13.64,5.828,3.156,0.357,0.18,17.92,4.597,13.64,5.828,3.156,0.357,0.18,17.92,4.597,13.64,5.828,3.156,0.357,0.18,17.92,4.597,13.64,5.828,3.156,0.357,0.18,17.92,4.597,13.64,5.828,3.156,0.357,0.18,17.92,4.597,13.64,5.828,3.156,0.357,0.18,17.92,4.597
,E-MRNI-2,II,1234,1239,BOKABIL,,1.10.2023,Sediment,,0.565,95.02,11.59,165.2,9.771,37.84,0.316,0.565,95.02,11.59,165.2,9.771,37.84,0.316,0.565,95.02,11.59,165.2,9.771,37.84,0.316,0.565,95.02,11.59,165.2,9.771,37.84,0.316,0.565,95.02,11.59,165.2,9.771,37.84,0.316,0.565,95.02,11.59,165.2,9.771,37.84,0.316,0.565,95.02,11.59,165.2,9.771,37.84,0.316,0.565,95.02,11.59,165.2,9.771,37.84,0.316,0.565,95.02,11.59,165.2,9.771,37.84,0.316,0.565,95.02,11.59,165.2,9.771,37.84,0.316,0.565,95.02,11.59,165.2,9.771,37.84,0.316,0.565,95.02,11.59,165.2,9.771,37.84,0.316,0.565,95.02,11.59,165.2,9.771,37.84,0.316,0.565,95.02,11.59,165.2,9.771,37.84,0.316,0.565,95.02,11.59
,E-MRNI-2,I,1234,1239,BOKABIL,,1.10.2023,Sediment,,0.987,48.35,11.97,59.32,9.703,14.1,0.327,0.987,48.35,11.97,59.32,9.703,14.1,0.327,0.987,48.35,11.97,59.32,9.703,14.1,0.327,0.987,48.35,11.97,59.32,9.703,14.1,0.327,0.987,48.35,11.97,59.32,9.703,14.1,0.327,0.987,48.35,11.97,59.32,9.703,14.1,0.327,0.987,48.35,11.97,59.32,9.703,14.1,0.327,0.987,48.35,11.97,59.32,9.703,14.1,0.327,0.987,48.35,11.97,59.32,9.703,14.1,0.327,0.987,48.35,11.97,59.32,9.703,14.1,0.327,0.987,48.35,11.97,59.32,9.703,14.1,0.327,0.987,48.35,11.97,59.32,9.703,14.1,0.327,0.987,48.35,11.97,59.32,9.703,14.1,0.327,0.987,48.35,11.97,59.32,9.703,14.1,0.327,0.987,48.35,11.97
,E-GJLA-1,I,1234,1239,BOKABIL,,1.10.2023,Sediment,,1.924,138.8,14.47,76.62,12.67,18.99,0.362,1.924,138.8,14.47,76.62,12.67,18.99,0.362,1.924,138.8,14.47,76.62,12.67,18.99,0.362,1.924,138.8,14.47,76.62,12.67,18.99,0.362,1.924,138.8,14.47,76.62,12.67,18.99,0.362,1.924,138.8,14.47,76.62,12.67,18.99,0.362,1.924,138.8,14.47,76.62,12.67,18.99,0.362,1.924,138.8,14.47,76.62,12.67,18.99,0.362,1.924,138.8,14.47,76.62,12.67,18.99,0.362,1.924,138.8,14.47,76.62,12.67,18.99,0.362,1.924,138.8,14.47,76.62,12.67,18.99,0.362,1.924,138.8,14.47,76.62,12.67,18.99,0.362,1.924,138.8,14.47,76.62,12.67,18.99,0.362,1.924,138.8,14.47,76.62,12.67,18.99,0.362,1.924,138.8,14.47
,E-RKMN-2,I,1234,1239,BOKABIL,,1.10.2023,Sediment,,1.219,55.22,11.85,56.68,7.94,13.1,0.348,1.219,55.22,11.85,56.68,7.94,13.1,0.348,1.219,55.22,11.85,56.68,7.94,13.1,0.348,1.219,55.22,11.85,56.68,7.94,13.1,0.348,1.219,55.22,11.85,56.68,7.94,13.1,0.348,1.219,55.22,11.85,56.68,7.94,13.1,0.348,1.219,55.22,11.85,56.68,7.94,13.1,0.348,1.219,55.22,11.85,56.68,7.94,13.1,0.348,1.219,55.22,11.85,56.68,7.94,13.1,0.348,1.219,55.22,11.85,56.68,7.94,13.1,0.348,1.219,55.22,11.85,56.68,7.94,13.1,0.348,1.219,55.22,11.85,56.68,7.94,13.1,0.348,1.219,55.22,11.85,56.68,7.94,13.1,0.348,1.219,55.22,11.85,56.68,7.94,13.1,0.348,1.219,55.22,11.85
,E-MRNI-2,II,1234,1239,BOKABIL,,1.10.2023,Sediment,,0.895,59.64,8.471,48.4,8.078,12.33,0.319,0.895,59.64,8.471,48.4,8.078,12.33,0.319,0.895,59.64,8.471,48.4,8.078,12.33,0.319,0.895,59.64,8.471,48.4,8.078,12.33,0.319,0.895,59.64,8.471,48.4,8.078,12.33,0.319,0.895,59.64,8.471,48.4,8.078,12.33,0.319,0.895,59.64,8.471,48.4,8.078,12.33,0.319,0.895,59.64,8.471,48.4,8.078,12.33,0.319,0.895,59.64,8.471,48.4,8.078,12.33,0.319,0.895,59.64,8.471,48.4,8.078,12.33,0.319,0.895,59.64,8.471,48.4,8.078,12.33,0.319,0.895,59.64,8.471,48.4,8.078,12.33,0.319,0.895,59.64,8.471,48.4,8.078,12.33,0.319,0.895,59.64,8.471,48.4,8.078,12.33,0.319,0.895,59.64,8.471
,E-NOJN-1,I,1234,1239,BOKABIL,,1.10.2023,Sediment,,1.33,167.8,8.668,69.4,7.508,17.39,0.268,1.33,167.8,8.668,69.4,7.508,17.39,0.268,1.33,167.8,8.668,69.4,7.508,17.39,0.268,1.33,167.8,8.668,69.4,7.508,17.39,0.268,1.33,167.8,8.668,69.4,7.508,17.39,0.268,1.33,167.8,8.668,69.4,7.508,17.39,0.268,1.33,167.8,8.668,69.4,7.508,17.39,0.268,1.33,167.8,8.668,69.4,7.508,17.39,0.268,1.33,167.8,8.668,69.4,7.508,17.39,0.268,1.33,167.8,8.668,69.4,7.508,17.39,0.268,1.33,167.8,8.668,69.4,7.508,17.39,0.268,1.33,167.8,8.668,69.4,7.508,17.39,0.268,1.33,167.8,8.668,69.4,7.508,17.39,0.268,1.33,167.8,8.668,69.4,7.508,17.39,0.268,1.33,167.8,8.668
,E-MKRN-1,I,1234,1239,BOKABIL,,1.10.2023,Sediment,,1.724,195.4,9.206,72.66,8.042,17.55,0.271,1.724,195.4,9.206,72.66,8.042,17.55,0.271,1.724,195.4,9.206,72.66,8.042,17.55,0.271,1.724,195.4,9.206,72.66,8.042,17.55,0.271,1.724,195.4,9.206,72.66,8.042,17.55,0.271,1.724,195.4,9.206,72.66,8.042,17.55,0.271,1.724,195.4,9.206,72.66,8.042,17.55,0.271,1.724,195.4,9.206,72.66,8.042,17.55,0.271,1.724,195.4,9.206,72.66,8.042,17.55,0.271,1.724,195.4,9.206,72.66,8.042,17.55,0.271,1.724,195.4,9.206,72.66,8.042,17.55,0.271,1.724,195.4,9.206,72.66,8.042,17.55,0.271,1.724,195.4,9.206,72.66,8.042,17.55,0.271,1.724,195.4,9.206,72.66,8.042,17.55,0.271,1.724,195.4,9.206
,E-MKRN-1,I,1234,1239,BOKABIL,,1.10.2023,Sediment,,4.636,410,15.93,78.88,6.95,20.17,0.323,4.636,410,15.93,78.88,6.95,20.17,0.323,4.636,410,15.93,78.88,6.95,20.17,0.323,4.636,410,15.93,78.88,6.95,20.17,0.323,4.636,410,15.93,78.88,6.95,20.17,0.323,4.636,410,15.93,78.88,6.95,20.17,0.323,4.636,410,15.93,78.88,6.95,20.17,0.323,4.636,410,15.93,78.88,6.95,20.17,0.323,4.636,410,15.93,78.88,6.95,20.17,0.323,4.636,410,15.93,78.88,6.95,20.17,0.323,4.636,410,15.93,78.88,6.95,20.17,0.323,4.636,410,15.93,78.88,6.95,20.17,0.323,4.636,410,15.93,78.88,6.95,20.17,0.323,4.636,410,15.93,78.88,6.95,20.17,0.323,4.636,410,15.93
,E-MRNI-2,I,1234,1239,BOKABIL,,1.10.2023,Sediment,,3.602,294.4,18.27,103,9.605,25.15,0.282,3.602,294.4,18.27,103,9.605,25.15,0.282,3.602,294.4,18.27,103,9.605,25.15,0.282,3.602,294.4,18.27,103,9.605,25.15,0.282,3.602,294.4,18.27,103,9.605,25.15,0.282,3.602,294.4,18.27,103,9.605,25.15,0.282,3.602,294.4,18.27,103,9.605,25.15,0.282,3.602,294.4,18.27,103,9.605,25.15,0.282,3.602,294.4,18.27,103,9.605,25.15,0.282,3.602,294.4,18.27,103,9.605,25.15,0.282,3.602,294.4,18.27,103,9.605,25.15,0.282,3.602,294.4,18.27,103,9.605,25.15,0.282,3.602,294.4,18.27,103,9.605,25.15,0.282,3.602,294.4,18.27,103,9.605,25.15,0.282,3.602,294.4,18.27
,E-MRNI-2,I,1234,1239,BOKABIL,,1.10.2023,Sediment,,6.299,466.4,28.3,97.48,9.078,24.23,0.28,6.299,466.4,28.3,97.48,9.078,24.23,0.28,6.299,466.4,28.3,97.48,9.078,24.23,0.28,6.299,466.4,28.3,97.48,9.078,24.23,0.28,6.299,466.4,28.3,97.48,9.078,24.23,0.28,6.299,466.4,28.3,97.48,9.078,24.23,0.28,6.299,466.4,28.3,97.48,9.078,24.23,0.28,6.299,466.4,28.3,97.48,9.078,24.23,0.28,6.299,466.4,28.3,97.48,9.078,24.23,0.28,6.299,466.4,28.3,97.48,9.078,24.23,0.28,6.299,466.4,28.3,97.48,9.078,24.23,0.28,6.299,466.4,28.3,97.48,9.078,24.23,0.28,6.299,466.4,28.3,97.48,9.078,24.23,0.28,6.299,466.4,28.3,97.48,9.078,24.23,0.28,6.299,466.4,28.3
